,Tax Roll,Property Address,Sale Price,Time-adjusted Sale Price,2020_assessed_value_CAD,Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built,legal_desc,land_use,classifications,parcel_area (m2),year_built,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement,lat,lon
668,855320,2411 BAYSPRINGS PA SW,439900,420300,388000,02/28/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
669,855320,2411 BAYSPRINGS PA SW,439900,420300,388000,02/28/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
670,855320,2411 BAYSPRINGS PA SW,439900,420300,388000,02/28/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
671,855320,2411 BAYSPRINGS PA SW,439900,420300,388000,02/28/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
672,855320,2411 BAYSPRINGS PA SW,439900,420500,388000,06/13/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
673,855320,2411 BAYSPRINGS PA SW,439900,420500,388000,06/13/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
674,855320,2411 BAYSPRINGS PA SW,439900,420500,388000,06/13/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
675,855320,2411 BAYSPRINGS PA SW,439900,420500,388000,06/13/2017,Baysprings,Duplex,2 Storey,1760,2016,Plan: 1510077 Block/Unit: 6 Lot: 44,R2 Low Density Residential District,Duplex,319,2016,None,Yes,Yes,Yes,Yes,No,51.2758209,-114.0472353
676,858041,399 BAYVIEW WY SW,548677,524300,475000,02/28/2017,Baysprings,Single Family,2 Storey,2014,2016,Plan: 1612574 Block/Unit: 2 Lot: 41,R1 Single Detached Residential District,Single Family Dwelling,364,2016,None,Yes,Yes,Yes,Yes,No,51.2758698,-114.0428709
677,854459,116 BAYSPRINGS CO SW,580000,554200,547000,02/01/2017,Baysprings,Single Family,2 Storey,2584,2015,Plan: 1411187 Block/Unit: 7 Lot: 5,R1 Single Detached Residential District,Single Family Dwelling,428,2015,None,Yes,Yes,Yes,Yes,Yes,51.2754725,-114.0446341
678,855338,31 BAYSPRINGS WY SW,359000,343000,364000,02/01/2017,Baysprings,Duplex,2 Storey,1605,2015,Plan: 1510077 Block/Unit: 8 Lot: 8,R2 Low Density Residential District,Duplex,328,2015,None,Yes,Yes,Yes,Yes,No,51.2753154,-114.0479102
679,854488,2356 BAYSPRINGS PA SW,480000,458600,500000,03/22/2017,Baysprings,Single Family,2 Storey,2267,2016,Plan: 1411187 Block/Unit: 7 Lot: 20,R1 Single Detached Residential District,Single Family Dwelling,408,2016,None,Yes,Yes,Yes,Yes,No,51.2756201,-114.0455726
680,858030,160 BAYVIEW ST SW,570000,544600,530000,03/15/2017,Baysprings,Single Family,2 Storey,2524,2016,Plan: 1612574 Block/Unit: 2 Lot: 33,R1 Single Detached Residential District,Single Family Dwelling,363,2016,None,Yes,Yes,No,Yes,No,51.2754911,-114.0434156
681,852945,2454 BAYSPRINGS LI SW,512500,489700,507000,03/30/2017,Baysprings,Single Family,2 Storey,2230,2015,Plan: 1312521 Block/Unit: 6 Lot: 3,R1 Single Detached Residential District,Single Family Dwelling,389,2015,None,Yes,Yes,Yes,Yes,Yes,51.2747961,-114.0466567
682,851452,119 BAYVIEW ST SW,489000,467200,468000,03/29/2017,Baysprings,Single Family,2 Storey,2460,2014,Plan: 1212826 Block/Unit: 3 Lot: 4,R1 Single Detached Residential District,Single Family Dwelling,386,2014,None,Yes,Yes,Yes,Yes,No,51.2742013,-114.043695
683,858059,1321 2461 BAYSPRINGS LI SW,222771,202100,195000,03/07/2017,Baysprings,Apartment,Apartment,882,2016,Plan: 1612492 Block/Unit: 174 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,87,2016,None,None,Yes,No,None,No,51.2733547,-114.0464076
684,858038,387 BAYVIEW WY SW,515000,492100,449000,03/14/2017,Baysprings,Single Family,2 Storey,2018,2016,Plan: 1612574 Block/Unit: 2 Lot: 44,R1 Single Detached Residential District,Single Family Dwelling,364,2016,None,Yes,Yes,Yes,Yes,No,51.2756725,-114.0428764
685,854466,144 BAYSPRINGS CO SW,560000,535100,542000,03/09/2017,Baysprings,Single Family,2 Storey,2564,2016,Plan: 1411187 Block/Unit: 7 Lot: 12,R1 Single Detached Residential District,Single Family Dwelling,500,2016,Yes,Yes,Yes,Yes,Yes,No,51.2776672,-114.0456402
686,856851,305 2461 BAYSPRINGS LI SW,269900,250300,246000,04/20/2017,Baysprings,Condo,3 Storey - basementless,1261,2016,Plan: 1610086 Block/Unit: 64 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,91,2016,None,Yes,Yes,No,None,No,51.2739495,-114.0477248
687,854490,2360 BAYSPRINGS PA SW,485000,464100,499000,04/24/2017,Baysprings,Single Family,2 Storey,2131,2016,Plan: 1411187 Block/Unit: 7 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,408,2016,None,Yes,Yes,Yes,Yes,No,51.2756203,-114.0458571
688,854490,2360 BAYSPRINGS PA SW,485000,464100,499000,04/24/2017,Baysprings,Single Family,2 Storey,2131,2016,Plan: 1411187 Block/Unit: 7 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,408,2016,None,Yes,Yes,Yes,Yes,No,51.2756203,-114.0458571
689,854490,2360 BAYSPRINGS PA SW,485000,464100,499000,04/24/2017,Baysprings,Single Family,2 Storey,2131,2016,Plan: 1411187 Block/Unit: 7 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,408,2016,None,Yes,Yes,Yes,Yes,No,51.2756203,-114.0458571
690,854490,2360 BAYSPRINGS PA SW,485000,464100,499000,04/24/2017,Baysprings,Single Family,2 Storey,2131,2016,Plan: 1411187 Block/Unit: 7 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,408,2016,None,Yes,Yes,Yes,Yes,No,51.2756203,-114.0458571
691,854490,2360 BAYSPRINGS PA SW,470000,447800,499000,09/08/2017,Baysprings,Single Family,2 Storey,2131,2016,Plan: 1411187 Block/Unit: 7 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,408,2016,None,Yes,Yes,Yes,Yes,No,51.2756203,-114.0458571
